total_income_lower_bound,total_income_upper_bound,employment_income_count,employment_income_amount,self_employment_income_count,self_employment_income_amount,state_pension_count,state_pension_amount,private_pension_income_count,private_pension_income_amount,property_income_count,property_income_amount,savings_interest_income_count,savings_interest_income_amount,dividend_income_count,dividend_income_amount,year
200000,300000.0,208035,41735442414,41421,6088523896,16649,275664226,22139,2035423258,46858,1419157659,94096,130133744,87051,5742374807,2026
300000,500000.0,110460,34323794901,24798,6213730757,8479,227652293,11078,1292535705,25931,1222514565,56799,119094155,50510,4556981255,2026
500000,1000000.0,55570,28414611732,16457,7545643026,6358,144108876,6459,1071200071,13957,622353008,36771,151500018,37839,6422119621,2026
1000000,inf,27446,52360639402,12931,28503616591,1853,25262935,2154,392409201,8660,608407839,19516,290278066,20801,20768336340,2026
12570,inf,26453030,1161081642598,3729790,136177525098,7200611,92614576467,8545369,157449008472,2354590,36981999292,11725012,3575679933,3993352,103136550262,2026
12570,15000.0,157614,2226514997,11419,115298820,43049,546722056,33845,99112819,2617,22017366,56940,6193902,4771,8853075,2027
15000,20000.0,2223214,35402364648,555145,7456997250,1357334,17485274910,1498280,10713990174,164372,1557574943,1250664,149720201,174605,429100441,2027
20000,30000.0,6203414,138834762178,934623,15659944901,2570589,34042587726,2844152,34572598129,388886,4206868786,3017719,604153765,685734,3108597813,2027
30000,40000.0,6080671,186203956673,828891,18267316336,1470708,19622929846,1790904,36579876310,386545,4946268425,2376429,542023924,639039,5321395421,2027
40000,50000.0,4098137,166944727639,460863,13163090850,749099,9869438240,950052,25056491329,297294,4323473061,1641086,421578492,568035,6606459754,2027
50000,70000.0,3770816,190477817490,469723,15842128343,604335,7986055099,845496,27984743447,458723,7652871105,1748588,563132781,820562,18187476247,2027
70000,100000.0,2161470,148735998930,219621,9247004089,266348,3513593021,378448,16986140600,316390,6614210731,879024,393824692,495114,17800024336,2027
100000,150000.0,1106276,112820968990,111000,7045651031,104304,1406770159,149362,9282047900,176753,4401898570,458591,279132462,287755,12864985783,2027
150000,200000.0,312758,45988801397,49699,4493773309,28000,398892466,39467,3224267421,68129,1802993891,115191,144288878,121151,5665751055,2027
200000,300000.0,216456,43278263991,44346,6528420120,17254,261553597,24309,2362919534,49781,1616057609,98486,138771405,91377,6165331079,2027
300000,500000.0,118643,36152473383,26718,6691546980,10106,247770448,13442,1705796458,28050,1013600098,61441,130553805,55996,5304615303,2027
500000,1000000.0,58957,30020975132,17416,7959157397,7543,198583368,6720,1213391884,15675,1134790642,39848,177287001,40553,7535489345,2027
1000000,inf,28098,54231566808,13541,30341716033,1865,25972647,2230,426153729,9060,687499196,19947,315639880,21238,22480167023,2027
12570,inf,26536523,1191319192256,3743005,142812045458,7230490,95605545353,8576662,170207253774,2362275,39980124425,11763909,3866292782,4005930,111478246674,2027
12570,15000.0,43250,547260875,9518,109572877,33003,411490857,25697,85668640,2203,20131951,20837,4681719,3510,6595012,2028
15000,20000.0,2113708,34203074274,473365,6525113371,1135871,15013231022,1183587,8042139364,118061,1116652605,1067959,115069303,125690,263334619,2028
20000,30000.0,5866955,131326932205,919684,15635037381,2546834,34753144224,2849394,34922424472,378287,4246272743,2907344,600277416,649167,2957600481,2028
30000,40000.0,6291548,194764752870,836628,18874924300,1506390,20610618588,1810232,37158850467,373451,4934259286,2381332,571898095,623578,5097188919,2028
40000,50000.0,4196513,173682520026,462999,13006979729,811666,10980804880,1026718,27432820140,293261,4503277220,1715980,451631209,547909,6201165846,2028
50000,70000.0,3817546,192916128409,515705,17901307821,700674,9520368873,977036,33564695948,479924,8393640211,1860701,639502562,860946,19442323963,2028
70000,100000.0,2262917,156196112423,245648,10431247111,308775,4185404952,437158,20153419279,338461,7430477103,954880,449563463,525723,18956824053,2028
100000,150000.0,1174062,119171478189,119507,7580696445,121093,1663874523,172912,11130437531,193911,5155472105,501729,317819060,313038,14572185744,2028
150000,200000.0,333372,48599629156,53366,4669919524,33264,482743102,46419,4029874927,75314,2146127250,124035,161469945,133793,6870049292,2028
